City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
317,salalah,OM,17.0151,54.0924,59,Muscat International Hotel
319,sambava,MG,-14.2667,50.1667,79,Royal Sava Hôtel
320,yarada,IN,17.65,83.2667,89,daspalla
321,namibe,AO,-15.1961,12.1522,72,Nelsal Pensao
330,bafoulabe,ML,13.8065,-10.8321,72,No hotel found
333,juruti,BR,-2.1522,-56.0922,62,No hotel found
334,kailua,US,21.4022,-157.7394,89,No hotel found
338,mahina,PF,-17.5065,-149.489,83,Motu Martin
340,santa rosalia,MX,27.3167,-112.2833,56,Sol y Mar
346,mana,GF,5.6592,-53.7767,64,Le Samana
348,mandera,KE,3.9366,41.867,48,Kornesh Hotel and Lodging
349,numan,NG,9.4667,12.0333,40,No hotel found
350,pingliang,CN,35.5392,106.6861,64,平凉新都酒店
354,bengkulu,ID,-3.8004,102.2655,90,Dena Hotel
355,honiara,SB,-9.4333,159.95,85,King Solomon Hotel
356,pemba,MZ,-12.974,40.5178,76,Hotel Rafael
358,shingu,JP,33.7333,135.9833,79,ホテルニューパレス
360,lerik,AZ,38.7726,48.4128,95,No hotel found
361,quelimane,MZ,-17.8786,36.8883,75,Mabassa
363,narwar,IN,25.65,77.9,55,No hotel found
366,tabou,CI,4.423,-7.3528,77,hôtel le rochet
371,lima,PE,-12.0432,-77.0282,79,Hotel Peach Garden
377,dicabisagan,PH,17.0818,122.4157,88,No hotel found
383,mayumba,GA,-3.432,10.6554,79,Résidence Hôtelière Fabso
384,adrar,MR,20.5022,-10.0711,8,No hotel found
385,port blair,IN,11.6667,92.75,89,Andaman Ocean Breeze
387,ribeira grande,PT,38.5167,-28.7,48,Hospedaria JSF
389,buraydah,SA,26.326,43.975,11,دنا للوحدات السكنية
390,port-gentil,GA,-0.7193,8.7815,79,Tara-Mé
393,bogande,BF,12.9714,-0.1436,15,No hotel found
397,carlyle,US,38.6103,-89.3726,62,Carlyle Inn & Suites
401,hamilton,US,39.1834,-84.5333,72,North Vista Manor
402,seoul,KR,37.5683,126.9778,70,뉴 서울 호텔
403,woodward,US,36.4337,-99.3904,42,Sands Inn
405,mayo,US,38.8876,-76.5119,53,The Westin
408,acajutla,SV,13.5928,-89.8275,71,Hotel Lara
409,capoterra,IT,39.1763,8.9718,71,Rosa Hotel
410,muisne,EC,0.6,-80.0333,81,Hostal Té de Menta
411,praia da vitoria,PT,38.7333,-27.0667,77,Salles
413,kalemie,CD,-5.9475,29.1947,60,Hotel du Lac
414,tagusao,PH,9.1924,117.8141,82,"Shaman's Breath- Beach, Bed & Breakfast"
415,mao,ES,39.8885,4.2658,78,Hevresac
416,mahibadhoo,MV,3.7833,72.9667,73,No hotel found
417,cabo san lucas,MX,22.8909,-109.9124,69,Comfort Rooms
418,panuco,MX,22.05,-98.1667,88,Hotel Plaza
422,gamboma,CG,-1.8764,15.8644,68,No hotel found
424,carutapera,BR,-1.195,-46.02,60,No hotel found
427,dzaoudzi,YT,-12.7887,45.2699,73,Résidence Vili Vili
429,lorengau,PG,-2.0226,147.2712,74,Seeadler Bay Hotel
430,pachino,IT,36.7186,15.0907,67,Hotel Celeste
431,cabedelo,BR,-6.9811,-34.8339,68,No hotel found
432,denpasar,ID,-8.65,115.2167,100,Bunk Bed Hotel Denpasar Bali
433,ipixuna,BR,-1.7625,-48.8043,46,Hotel Cristo Redentor
436,lakki marwat,PK,32.6079,70.9114,20,No hotel found
439,katobu,ID,-4.9408,122.5276,94,No hotel found
440,merauke,ID,-8.4667,140.3333,89,Coreinn
441,yangliuqing,CN,39.1375,116.9997,31,IU Inn
444,thinadhoo,MV,0.5333,72.9333,76,No hotel found
445,terra santa,BR,-2.1042,-56.4869,67,Hotel Novo Horizonte
446,colares,PT,38.7992,-9.4469,84,Quinta de São Tadeu
450,samandag,TR,36.0842,35.9771,80,Almina Apart Hotel
451,san joaquin,US,37.9333,-121.3011,89,Days Inn Stockton
453,nazareno,MX,25.3833,-103.4167,83,No hotel found
454,tessalit,ML,20.1986,1.0114,13,No hotel found
455,yaan,NG,7.3833,8.5667,69,No hotel found
456,ixtapa,MX,20.7,-105.2,70,Ma. Cristina
457,dong hoi,VN,17.4833,106.6,70,Nhà hàng Amor Palace
458,harindanga,IN,22.0383,88.3214,75,No hotel found
461,la paz,BO,-16.5,-68.15,50,Alojamiento Tokio
462,hualmay,PE,-11.0964,-77.6139,71,El conquistador
466,the valley,AI,18.217,-63.0578,65,CeBlue
468,juegang,CN,32.3174,121.1855,63,No hotel found
470,araouane,ML,18.9048,-3.5265,10,No hotel found
471,kirakira,SB,-10.4544,161.9205,81,No hotel found
472,tautira,PF,-17.7333,-149.15,81,No hotel found
473,singkang,MY,2.1006,102.7994,89,No hotel found
474,taitung,TW,22.7583,121.1444,80,瑞軒民宿
475,nabire,ID,-3.3667,135.4833,91,Hotel Anggrek
477,caiaponia,BR,-16.9567,-51.8103,14,No hotel found
479,praya,CV,14.9215,-23.5087,74,Casa Sodadi
481,abu zabad,SD,12.35,29.25,29,No hotel found
482,kushima,JP,31.4583,131.2333,82,No hotel found
485,greenville,US,35.6127,-77.3663,48,Quality Inn
488,pleasanton,US,37.6624,-121.8747,86,The Rose Hotel
491,hirado,JP,33.3597,129.5531,55,旗松亭
492,brokopondo,SR,4.75,-55.1667,60,Matu eiland
494,laurel,US,39.0993,-76.8483,55,Quality Inn & Suites
495,statesville,US,35.7826,-80.8873,49,The Kerr House Bed & Breakfast
496,tikrit,IQ,34.6071,43.6782,14,فندق بلازا
498,lahij,YE,13.1667,44.5833,55,No hotel found
501,kapit,MY,2.0167,112.9333,99,Hotel Haip Choing
507,kundiawa,PG,-6.0167,144.9667,97,Kundiawa Hotel
509,bhandara,IN,21.1667,79.65,86,Hotel Royal Plaza
510,wadi musa,JO,30.3222,35.4793,63,Elgee Hotel
513,sawakin,SD,19.1059,37.3321,69,Hotel Halfa
515,rameswaram,IN,9.2833,79.3,77,Hyatt Place Hotel
516,guerrero negro,MX,27.9769,-114.0611,68,Plaza sal paraiso
517,bandarbeyla,SO,9.4942,50.8122,81,No hotel found
519,vila franca do campo,PT,37.7167,-25.4333,70,Vinha d'Areia Beach Hotel
520,bauta,CU,22.9828,-82.5464,71,No hotel found
521,nsanje,MW,-16.92,35.262,26,No hotel found
522,xuchang,CN,34.0167,113.8167,35,first hotel
523,todos santos,MX,23.45,-110.2167,67,Hotel Casa Tota
525,tateyama,JP,34.9833,139.8667,85,No hotel found
526,wajima,JP,37.4,136.9,55,八汐
529,yaring,TH,6.8662,101.3689,87,No hotel found
530,isiro,CD,2.7739,27.616,73,Hôtel Magbetu
533,nicoya,CR,10.1483,-85.452,73,Hotel marianela
535,emirdag,TR,39.0197,31.15,69,No hotel found
536,nouadhibou,MR,20.931,-17.0347,27,Hotel valencia
542,bilma,NE,18.6853,12.9164,18,No hotel found
543,vung tau,VN,10.346,107.0843,83,No hotel found
545,kalabo,ZM,-14.97,22.6814,14,Golden Lodge Luxury Acomodation
547,lemoore,US,36.3008,-119.7829,74,Best Western Inn & Suites Lemoore
549,juba,SS,4.8517,31.5825,69,Hotel Juba Regency
550,pali,IN,25.7667,73.3333,26,Hotel Pawan International
551,katsuura,JP,35.1333,140.3,84,潮騒の宿
552,bambanglipuro,ID,-7.95,110.2833,87,Puri Ganjuran
553,padang,ID,-0.9492,100.3543,82,losmen Surya
559,lompoc,US,34.6391,-120.4579,100,Red Roof Inn Lompoc
560,changli,CN,39.7042,119.1506,33,客房
561,choma,ZM,-16.8065,26.9531,22,No hotel found
562,tena,EC,-0.9833,-77.8167,62,Hotel Villa Belén
565,wyndham,US,37.6985,-77.6125,52,Home2 Suites
566,nhulunbuy,AU,-12.2333,136.7667,78,No hotel found
567,sangamner,IN,19.5667,74.2167,85,Joshi Hotel
568,road town,VG,18.4167,-64.6167,70,No hotel found
569,ranong,TH,9.9658,98.6348,93,Rattana Sin Hotel
574,canchungo,GW,12.0672,-16.0333,61,Hotel Pereira
